名称,住所
ニチイケアセンター坂戸緑町,埼玉県坂戸市緑町１１番５号
有料老人ホーム　サニーライフ坂戸,埼玉県坂戸市日の出町１６番３４号
ＳＯＭＰＯケア　ラヴィーレ坂戸,埼玉県坂戸市大字石井2768-11
シノテクス株式会社,埼玉県坂戸市千代田2丁目14番地5
ハートサービス坂戸事業所,埼玉県坂戸市八幡2-4-21
ルネサンス,埼玉県坂戸市北峰33番地
ケアプラン　あゆみ,埼玉県坂戸市南町7-1　2階
居宅介護支援事業所　ポピー,埼玉県坂戸市戸宮６０９番地
はつらつ居宅介護支援事業所,埼玉県坂戸市本町２－１３
指定居宅介護支援事業所「シャローム」,埼玉県坂戸市新堀毛地１－１
医療法人社団　爽風会　守屋医院　指定居宅介護支援事業所,埼玉県坂戸市日の出町７－２９
一般社団法人坂戸鶴ヶ島医師会立居宅介護支援事業所さつき,埼玉県坂戸市石井２３２７番地５
指定居宅介護支援事業所　ユーカリ,埼玉県坂戸市坂戸1406
医療法人（社団）秀人会　指定居宅介護支援事業所さくら,埼玉県坂戸市末広町５番地１　シャンボールビル１０３号
有限会社　にこにこ介護,埼玉県坂戸市北峰１３－１
医療法人靖和会　やまぶきの郷居宅介護支援事業所,埼玉県坂戸市多和目３３０番地
居宅介護支援事業所わかば,埼玉県坂戸市紺屋403番地
居宅介護支援事業所ありんこ,埼玉県坂戸市三光町３０番地１０
居宅介護支援事業所　ポプラケアセンター,埼玉県坂戸市善能寺２６３番地２
居宅介護支援事業所　こころ,埼玉県坂戸市中小坂５５１－１１
居宅介護支援事業所　きずな,埼玉県坂戸市関間四丁目１１番地１４
居宅介護支援事業所かおる,埼玉県坂戸市薬師町19-4梅仲荘102号室
いきいき居宅介護支援事業所,埼玉県坂戸市溝端町1番地北坂戸団地1-5-101
指定介護老人福祉施設「シャローム・ガーデン坂戸」,埼玉県坂戸市新堀１－１
介護老人福祉施設　小沼サークルホーム,埼玉県坂戸市小沼490-1
特別養護老人ホーム　好日の家,埼玉県坂戸市大字浅羽字宿表1130番1
きんもくせい,埼玉県幸手市東２－３５－１８
桜楓苑訪問介護センター,埼玉県幸手市平須賀２－２２５
有限会社　いづみ　ケアステーション,埼玉県幸手市松石４３８－５
ヒューマンサポート幸手,埼玉県幸手市北１丁目１３－２０
しらゆりケアセンター,埼玉県幸手市中１－１－４０
株式会社椿,埼玉県幸手市南３－１４－１４
けあビジョン幸手,埼玉県幸手市東３丁目５番地７号　柳原店舗１０４
家族の家ひまわり幸手　訪問介護事業所,埼玉県幸手市上高野９０８番地１
ＳＯＭＰＯケア　幸手　訪問介護,埼玉県幸手市中1丁目4番8号岡野ビル1階101号室
ＪＭＡ東埼玉訪問看護ステーション,埼玉県幸手市吉野517-5
しらさぎ苑通所介護センター,埼玉県幸手市下吉羽１２５０－１
桜楓苑通所介護センター,埼玉県幸手市平須賀２－２２５
株式会社　あったかい手　デイサービスセンター,埼玉県幸手市外国府間６９７
幸手ケアセンターそよ風,埼玉県幸手市千塚９９３－１
デイサービスフローラ幸手,埼玉県幸手市東２－４１－１０
ヒューマンサポート　幸手　デイサービスセンター,埼玉県幸手市北１丁目１３－２０
ひらすかの郷　通所介護センター,埼玉県幸手市平須賀２丁目２２４番地
ツクイ　幸手,埼玉県幸手市栄３－６
デイサービスセンターきららの杜幸手,埼玉県幸手市下川崎谷中３１７－１
デイサービスさっての里,埼玉県幸手市大字松石字西6番1
あすなろデイサービス幸手,埼玉県幸手市南3-23-30
デイサービスセンターダレタメさって,埼玉県幸手市東４－５－１５
老人保健施設　幸手ナーシングホーム,埼玉県幸手市東３－１－５
むさしのメディカル通所リハビリセンター,埼玉県幸手市幸手２８０７
しらさぎ苑短期入所生活介護事業所,埼玉県幸手市下吉羽１２５０－１
桜楓苑短期入所生活介護事業所,埼玉県幸手市平須賀２－２２５
ひらすかの郷　短期入所生活介護事業所,埼玉県幸手市平須賀２丁目２２４番地
しらさぎ苑空床型短期入所事業所,埼玉県幸手市下吉羽１２５０－１
桜楓苑空床型短期入所生活介護事業所,埼玉県幸手市平須賀二丁目２２５番地
ショートステイ　さっての里,埼玉県幸手市大字松石字西６番１
介護付き有料老人ホーム　ヒューマンサポート　幸手,埼玉県幸手市北１丁目１３－２０
ニチイケアセンター幸手千塚,埼玉県幸手市千塚１３８番地１
ここち幸手,埼玉県幸手市南二丁目１１－１８
ライフケアサービス　おぐり,埼玉県幸手市北２－８－３
住まいル・ケア　白石工務店,埼玉県幸手市千塚１８４３番地
ＫＡＺＵコーポレーション,埼玉県幸手市幸手５２８５番地３
幸手ナーシングホーム居宅介護支援センター,埼玉県幸手市東３－１－５
桜楓苑居宅介護支援センター,埼玉県幸手市平須賀２－２２５
株式会社　あったかい手　介護支援センター,埼玉県幸手市外国府間６９７
むさしの介護支援センター,埼玉県幸手市幸手２８０７番地
しらさぎ苑居宅介護支援センター,埼玉県幸手市下吉羽１２５０－１
居宅介護支援　フローラ幸手,埼玉県幸手市東２－４１－１０
ジャパンケア幸手,埼玉県幸手市中１丁目４番８号岡野ビル１階１０１号室
居宅介護支援　さっての里,埼玉県幸手市大字松石字西6番1
家族の家ひまわり幸手　居宅介護支援事業所,埼玉県幸手市上高野908番地1
居宅介護支援事業所あすなろ幸手,埼玉県幸手市南3-23-30
ケアネット東埼玉　きぼう,埼玉県幸手市吉野５１７－５
ＳＯＭＰＯケア　幸手　居宅介護支援,埼玉県幸手市中１丁目４番８号岡野ビル１階１０１号室
介護老人福祉施設桜楓苑,埼玉県幸手市平須賀２－２２５
介護老人福祉施設しらさぎ苑,埼玉県幸手市下吉羽１２５０－１
介護老人福祉施設　ひらすかの郷,埼玉県幸手市平須賀２丁目２２４番地
特別養護老人ホームさっての里（ユニット型）,埼玉県幸手市大字松石字西６番１
特別養護老人ホーム　さっての里（従来型）,埼玉県幸手市大字松石字西6番1
株式会社ジョイフル本田幸手店,埼玉県幸手市上高野１２５８－１
ヘルパーステーション　ぺんぎん,埼玉県鶴ケ島市脚折１８７７
ニチイケアセンター鶴ヶ島,埼玉県鶴ケ島市鶴ヶ丘２－７　Ｋ＆Ｙビル2階
在宅訪問介護事業所　ベルグルー,埼玉県鶴ケ島市藤金８８１－２３
訪問介護事業所ファミーユ,埼玉県鶴ヶ島市松ヶ丘二丁目１－１２セジュール金子１０３
トータルファミリーサポートあゆみ,埼玉県鶴ケ島市上広谷662-8
ケアサポートのんのん,埼玉県鶴ヶ島市新町四丁目４番地１４
テパエ鶴ヶ島,埼玉県鶴ヶ島市太田ヶ谷432-2
ケアサポート２４若葉,埼玉県鶴ヶ島市富士見4-2-16
ひだまり,埼玉県鶴ヶ島市鶴ヶ丘２７１－２５
茶話本舗ヘルパーステーション鶴ヶ島,埼玉県鶴ヶ島市脚折町３丁目９番１３
訪問介護事業所　あゆみ,埼玉県鶴ヶ島市藤金685-1
フィルケア　鶴ヶ島,埼玉県鶴ヶ島市鶴ヶ丘75-8渋谷マンション貸店舗Ｂ号室
訪問介護事業所ひまわり,埼玉県鶴ヶ島市大字鶴ヶ丘37番地4ユアーズハイム102
鶴ヶ島訪問看護ステーション,埼玉県鶴ケ島市脚折１８７７
関越訪問看護ステーションたんぽぽ,埼玉県鶴ケ島市脚折１４５－１
鶴ヶ島訪問看護ステーションピアラボ,埼玉県鶴ヶ島市脚折町4-16-13フラン・グラース101
訪問看護ステーションハピネス,埼玉県鶴ヶ島市大字鶴ヶ丘81番地8ルックハイツ鶴ヶ島3階
カナオ訪問看護リハビリステーション鶴ヶ島,埼玉県鶴ヶ島市上広谷438番地10
デイサービス　ベルグルー,埼玉県鶴ケ島市藤金８８１－２３
デイサービスはるかぜ,埼玉県鶴ケ島市上広谷７２２－１１
花水樹,埼玉県鶴ヶ島市上広谷２３８－１６
鶴ヶ島ケアセンターそよ風,埼玉県鶴ヶ島市松ヶ丘３－１６－１１
花椿,埼玉県鶴ヶ島市高倉１０４１－２
デイサービスセンター　みどりの風　鶴ヶ島,埼玉県鶴ヶ島市上広谷５４３番１
鶴ヶ島ナーシングホーム　デイサービスセンター,埼玉県鶴ヶ島市上広谷６０番地１３
若葉ナーシングホーム　デイサービスセンター,埼玉県鶴ヶ島市上広谷７９３番地１０
レッツ倶楽部鶴ヶ島,埼玉県鶴ヶ島市松ヶ丘2丁目9-33藤プラザ101号
さわやか上広谷リハビリデイサービス,埼玉県鶴ヶ島市上広谷５番地５長谷部ハイツ１F
老人保健施設鶴ヶ島ケアホーム,埼玉県鶴ケ島市脚折１８７７
鶴ヶ島耳鼻咽喉科診療所　デイケアルーム,埼玉県鶴ケ島市上広谷８－１５
特別養護老人ホーム清光苑,埼玉県鶴ケ島市三ツ木８５５－１
ショートステイサービス　みどりの風鶴ヶ島,埼玉県鶴ヶ島市上広谷５４３番１
鶴ヶ島ほほえみの郷,埼玉県鶴ヶ島市高倉熊野1059番地1
ショートステイぺんぎん,埼玉県鶴ヶ島市高倉７７２－１　鶴ヶ島在宅医療診療所内
ふるさとホーム鶴ヶ島,埼玉県鶴ヶ島市大字脚折字池ノ台１４４１－１２
鶴ヶ島ナーシングホーム,埼玉県鶴ヶ島市上広谷６０番地１３
若葉ナーシングホーム,埼玉県鶴ヶ島市上広谷７９３番地１０
ふるさとホーム鶴ヶ島三ツ木,埼玉県鶴ヶ島市三ツ木３５３－２
ハーモニーライフ鶴ヶ島,埼玉県鶴ヶ島市上広谷383
イリーゼ鶴ヶ島,埼玉県鶴ヶ島市松ヶ丘3丁目23番3号
有料老人ホーム　サニーライフ鶴ヶ島,埼玉県鶴ヶ島市脚折町四丁目9番10号
ベストライフ鶴ヶ島,埼玉県鶴ヶ島市藤金901-4
ＳＯＭＰＯケア　ラヴィーレ鶴ヶ島,埼玉県鶴ヶ島市五味ヶ谷111番地1
はとみリビング株式会社,埼玉県鶴ヶ島市藤金876番地18
鶴ヶ島耳鼻咽喉科診療所,埼玉県鶴ケ島市上広谷８－１５
老人保健施設　鶴ヶ島ケアホーム,埼玉県鶴ケ島市脚折１８７７
鶴ヶ島市在宅介護支援センター　清光苑,埼玉県鶴ケ島市三ツ木８５５番地１
ニチイケアセンター鶴ヶ島,埼玉県鶴ケ島市鶴ヶ丘２－７　Ｋ＆Ｙビル２F
居宅介護支援事業所たんぽぽ,埼玉県鶴ケ島市脚折１４５番地１
指定居宅介護支援事業所ベルグルー,埼玉県鶴ケ島市藤金８８１－２３
居宅介護支援センター　富士,埼玉県鶴ケ島市藤金８７８－１２２　グリーンコーポ若葉１０６
居宅介護支援事業所ファミーユ,埼玉県鶴ヶ島市松ヶ丘二丁目１－１２セジュール金子１０３
居宅介護支援事業所　花水樹,埼玉県鶴ヶ島市上広谷２３８－１６
居宅介護支援事業所　みどりの風鶴ヶ島,埼玉県鶴ヶ島市上広谷５４３番１
居宅介護支援事業所　あめんぼ,埼玉県鶴ヶ島市大字中新田１１－２０
ケアサポート若葉,埼玉県鶴ヶ島市富士見４丁目２－１６
はるかぜ居宅介護支援事業所,埼玉県鶴ケ島市上広谷７２２番地１１
特別養護老人ホーム　みどりの風鶴ヶ島,埼玉県鶴ヶ島市上広谷５４３番１
老人保健施設日高の里,埼玉県日高市久保９６－１
ヘルパーステーション　スマイル日高,埼玉県日高市鹿山２３７－６
日高市社会福祉協議会「ヘルパーステーション　こまの郷」,埼玉県日高市楡木２０１
友結会ふるさとけあ,埼玉県日高市中鹿山１３３－１
けあビジョン日高,埼玉県日高市高萩１１５４番地５　パルネットキタノ１０２
サポート　かえる,埼玉県日高市鹿山201番地11
訪問介護ステーション　クレール,埼玉県日高市高麗川一丁目4番地22　Reaf2F
訪問介護事業所　ハートフル日高,埼玉県日高市大字高萩2352-3力ーサ・プリムラⅠ　102
介護のコアラ日高,埼玉県日高市横手2丁目25番地8
あさひヶ丘訪問看護ステーション,埼玉県日高市森戸新田９９番地１
すみれ訪問看護ステーション,埼玉県日高市下鹿山５２７番地　コマガワ・プラザ１階５号室
武蔵台訪問看護ステーション,埼玉県日高市久保２７８－１２
ひだかＫ＆Ｆ訪問看護ステーション,埼玉県日高市高萩６４６－１
訪問看護リハビリステーションパープル,埼玉県日高市高麗川二丁目2番地10小岩井ビル1階
デイサービスセンター清雅園,埼玉県日高市森戸新田９９－２
介護支援デイセンターゆうらくの里,埼玉県日高市四本木１丁目２番地１8
ふるさとけあ　なかよし倶楽部,埼玉県日高市下鹿山５２７番地
あさひデイサービスセンター,埼玉県日高市駒寺野新田字牛双木２５６－６
デイサービスセンター清流苑,埼玉県日高市横手４０１番地５
ふるさとけあ　かやま倶楽部,埼玉県日高市鹿山３８９－１
ふるさとけあ　お茶の間倶楽部,埼玉県日高市鹿山３８９－１
ふるさとけあ　のんびり倶楽部,埼玉県日高市大字原宿91番地1
ベテラン館　横手台　通所介護,埼玉県日高市横手二丁目16番地5
ベテラン館こまがわ　デイサービス,埼玉県日高市四本木2-5-1
あさひヶ丘,埼玉県日高市森戸新田99番１
リハビリテーションセンター武蔵台,埼玉県日高市久保２７８－１２
特別養護老人ホーム　清流苑,埼玉県日高市横手４０１－５
地域密着型特別養護老人ホーム第２清流苑,埼玉県日高市武蔵台1-26-8
ふるさとホーム日高,埼玉県日高市高萩1126-1
さわやかひだか館,埼玉県日高市高萩1112番地2
ふれあい広場　日高店,埼玉県日高市鹿山２３７－６
福祉用具貸与サービス清雅園,埼玉県日高市森戸新田９９－２
居宅介護支援事業所　日高の里,埼玉県日高市久保９６－１
在宅介護支援センター　せいがえん,埼玉県日高市森戸新田９９－２
ケアプラン　ふるさとけあ,埼玉県日高市中鹿山１３３－１
あさひヶ丘ケアプランセンター,埼玉県日高市森戸新田99番地１
介護支援センター萌木,埼玉県日高市高富５９番地１８
居宅介護支援事業所　ケア・サポート高根,埼玉県日高市下鹿山５２９番地６３
ケアプラン　ふるさとけあ　鹿山,埼玉県日高市鹿山３８９－１
あさひ介護支援センター,埼玉県日高市大字駒寺野新田字牛双木256番地の6
居宅介護支援事業所　クレール,埼玉県日高市高麗川一丁目4番地22　Reaf2F
ケアマネジメントかえる,埼玉県日高市鹿山201番地11
特別養護老人ホーム清雅園,埼玉県日高市森戸新田９９－２
ツクイ吉川美南,埼玉県吉川市美南４－５－２
社会福祉法人　吉川市社会福祉協議会,埼玉県吉川市吉川二丁目１番地１
ニチイケアセンター吉川,埼玉県吉川市保１－３－７吉川医療ビル１階
ヘルパーステーション　やまと　吉川,埼玉県吉川市保２１－１　サワーコーポ１０１
医療法人相羽医院　たんぽぽ,埼玉県吉川市吉川６３０－１
けあビジョン吉川,埼玉県吉川市木売二丁目２１－３　ヴィラージュ木売１階
福祉楽団　地域ケアよしかわ,埼玉県吉川市吉川団地１街区７号棟１０７号室
訪問介護事業所ひまわり,埼玉県吉川市保８４６番地５
ラウンド＆ケアヘルパーステーション東部,埼玉県吉川市木売1丁目4-11宏次ビル5階A
吉川松伏医師会訪問看護ステーション,埼玉県吉川市平沼１２３５番地１　３F
訪問看護ステーション　けあっぐ,埼玉県吉川市美南五丁目６番地４２階
ラウンド＆ケア訪問看護ステーション東部,埼玉県吉川市木売１丁目４－１１宏次ビル５階Ａ
社会福祉法人平成会　吉川平成園,埼玉県吉川市加藤１８７－１
あずみ苑　吉川,埼玉県吉川市保９３１－１
ケアパートナー吉川,埼玉県吉川市道庭一丁目１２－１２
デイサービス寿々喜,埼玉県吉川市川藤３２７０－１
吉川リハビリセンター,埼玉県吉川市道庭一丁目４番１２号
デイサービスセンターエクラシア吉川,埼玉県吉川市吉川５８５
デイサービス花びより,埼玉県吉川市大字木売588番地2
介護老人保健施設　ケアリングよしかわ,埼玉県吉川市八子新田５２９
社会福祉法人楽栄会ききょう苑,埼玉県吉川市飯島２７４
あずみ苑 吉川,埼玉県吉川市保９３１－１
ツクイ・サンシャイン吉川,埼玉県吉川市木売２－１１－３
イリーゼよしかわ,埼玉県吉川市美南４丁目１８番地３
ラフェスタ吉川,埼玉県吉川市大字平沼963番地
日生オアシス吉川,埼玉県吉川市美南1-1-3
ラフェスタ吉川美南,埼玉県吉川市高久１－３１－９
有限会社　ハート・アンド・ライフ,埼玉県吉川市高久１－１０－２７　ヴェルフィーユ１Ｆ
ラウンド＆ケア福祉用具東部,埼玉県吉川市木売１丁目４－１１宏次ビル５階A
吉川松伏医師会　訪問看護ステーション,埼玉県吉川市平沼１２３５番地１　３F
社会福祉法人平成会居宅介護支援事業所　吉川平成園,埼玉県吉川市大字加藤字中道１８７－１
社会福祉法人　楽栄会　ききょう苑,埼玉県吉川市飯島２７４
居宅介護支援事業所　吉川中央,埼玉県吉川市平沼２６３　はりまやビル１階
居宅介護支援事業所　よしかわ,埼玉県吉川市鍋小路81-1　中村病院内
ほほえみの家,埼玉県吉川市上内川４４４－１
医療法人　相羽医院　たんぽぽ,埼玉県吉川市吉川６３０－１
ケアプラン寿々喜,埼玉県吉川市川藤３２７０－１
ケアプランふくしあ,埼玉県吉川市吉川一丁目３番地１４ベルメゾンＡ－１
ケアフレンズ,埼玉県吉川市高富1丁目14番地17ルシエール吉川1階103
居宅介護支援事業所　ねむの木,埼玉県吉川市吉川一丁目２８番地１エトワール吉川１階
ラウンド＆ケア居宅介護支援事業所東部,埼玉県吉川市木売1-4-11宏次ビル5階Ａ
特別養護老人ホームききょう苑,埼玉県吉川市飯島２７４
吉川平成園,埼玉県吉川市加藤１８７－１
特別養護老人ホーム　みなみの苑,埼玉県吉川市大字中曽根１５５９番地２
ヘルパーステーションふじみ野,埼玉県ふじみ野市上福岡３－３－７
特定非営利活動法人　ひまわり,埼玉県ふじみ野市大井６９１－１
たんぽぽ訪問介護ステーション,埼玉県ふじみ野市亀久保１７１５－４
ヘルパーステーション　すまいる・ランド,埼玉県ふじみ野市上福岡３－１１－３
特定非営利活動法人サポート輪,埼玉県ふじみ野市上福岡４－２－２　第２原コーポ
ウイズネットホームヘルプサービス上福岡,埼玉県ふじみ野市上福岡５－５－４
ほほえみケアセンター　訪問介護事業所,埼玉県ふじみ野市福岡中央２－１－１１
社会福祉法人　ふじみ野市社会福祉協議会指定訪問介護事業所,埼玉県ふじみ野市福岡１－１－１
株式会社いずみ訪問介護事業所,埼玉県ふじみ野市上福岡６丁目３番８号
医療法人社団富家会　訪問介護ステーション　,埼玉県ふじみ野市亀久保1839-4　富家在宅リハビリテーションケアセンター２階
学研ココファンふじみ野ヘルパーセンター,埼玉県ふじみ野市ふじみ野四丁目８番４３号
けあビジョンふじみ野,埼玉県ふじみ野市うれし野２－５－１　３Ｆ
アースサポートふじみ野,埼玉県ふじみ野市苗間４５６番地１
やさしい手　ふじみ野巡回訪問介護事業所,埼玉県ふじみ野市南台１－１５－１２　グレイプスふじみ野１階
学研ココファンふじみ野南へルパーセンター,埼玉県ふじみ野市市沢一丁目6番6号
訪問介護　レジデンスふじみ野,埼玉県ふじみ野市鶴ケ岡1-12-7
訪問介護事業所リリエンベルグ,埼玉県ふじみ野市大井中央２－２－１７
訪問介護事業所　はまゆう,埼玉県ふじみ野市西１丁目１－１８　コーポ・エフワン１０１号室
たんぽぽ訪問看護ステーション,埼玉県ふじみ野市亀久保１７１５－４
一般社団法人東入間医師会訪問看護ステーション,埼玉県ふじみ野市駒林元町３－１－２０　休日急患診療所内
訪問看護ステーション福寿草,埼玉県ふじみ野市福岡新田北谷１０８－１
富家在宅リハビリテーションケアセンター,埼玉県ふじみ野市亀久保１８３９－４富家在宅リハビリテーションケアセンター２階
生協ふじみ野ケアセンター,埼玉県ふじみ野市上福岡３－３－７
訪問看護ステーションＬｅａｆ,埼玉県ふじみ野市亀久保２丁目4-6　コーウンビル２０２
富家訪問看護ステーションふじみ野,埼玉県ふじみ野市苗間291-2
ココタス　リハビリ訪問看護ステーション,埼玉県ふじみ野市上福岡5-9-21ゴールドヒル1F
訪問看護リハビリステーション　あんど悠すまいる,埼玉県ふじみ野市上福岡３－１１－２
社会福祉法人崇徳会マザーアース,埼玉県ふじみ野市大井６２１－１
おおいケアセンターそよ風,埼玉県ふじみ野市うれし野１－８－３０
あやめの里　デイサービスセンター,埼玉県ふじみ野市中福岡２６３
あいずの森デイサービスセンター,埼玉県ふじみ野市駒林元町２－１－３５
デイサービスセンター　ふじ,埼玉県ふじみ野市上福岡六丁目４－５
中丸デイサービスセンター,埼玉県ふじみ野市中丸２－２－１３
デイサービスセンター　ケアサポートふじみの,埼玉県ふじみ野市長宮２丁目４－６
ふじみ野市立大井デイサービスセンター,埼玉県ふじみ野市大井中央２－２－１
Ｒ＆Ｂ,埼玉県ふじみ野市大井中央４丁目１８－２６
上野台の里　デイサービスセンター,埼玉県ふじみ野市上野台二丁目15番25号
上野台ナーシングホーム　デイサービスセンター,埼玉県ふじみ野市上野台二丁目15番23号
富家リハビリセンター苗間,埼玉県ふじみ野市苗間291-2
デイサービス　ラスベガスふじみ野,埼玉県ふじみ野市苗間378-4
デイサービス　ラスベガス上福岡,埼玉県ふじみ野市鶴ケ岡1-12-9
ツクイふじみ野亀久保,埼玉県ふじみ野市亀久保二丁目4番13号
介護老人保健施設　さくらの里,埼玉県ふじみ野市福岡新田４－１
介護老人保健施設　上福岡リハケアセンター,埼玉県ふじみ野市福岡新田北谷１０８－１
医療法人　財団　明理会　介護老人保健施設　イムスケアふじみの,埼玉県ふじみ野市鶴ケ岡５丁目６番５８号
介護老人保健施設　秋桜の里,埼玉県ふじみ野市福岡１４２－１
ふじみ野介護老人保健施設　ベテラン館,埼玉県ふじみ野市亀久保１８３３番地５
ライフ＆シニアハウス川越南　七彩の街,埼玉県ふじみ野市鶴ケ岡４－１６－１５
指定短期入所生活介護事業所　秋桜の里,埼玉県ふじみ野市駒林１１４５－１
あやめの里　短期入所生活介護,埼玉県ふじみ野市中福岡２６３
特別養護老人ホーム　　大井苑,埼玉県ふじみ野市大井武蔵野１２７７－１
サンベスト　上福岡,埼玉県ふじみ野市上福岡１－１２－２９
ショートステイ　ケアサポートふじみの,埼玉県ふじみ野市長宮２丁目４－６
上野台の里　短期入所生活介護,埼玉県ふじみ野市上野台二丁目１５番２５号
スワロウテイル,埼玉県ふじみ野市福岡498番地1
指定特定施設入所者生活介護事業所　秋桜の里,埼玉県ふじみ野市駒林１１４５番地１
ライフコミューンふじみ野,埼玉県ふじみ野市丸山４－４
サンベストビレッジ上福岡,埼玉県ふじみ野市上福岡１－１２－２９
上野台ナーシングホーム,埼玉県ふじみ野市上野台２丁目15番23号
ベストライフ上福岡,埼玉県ふじみ野市鶴ケ岡3-19-77
ＳＯＭＰＯケア　ラヴィーレふじみ野,埼玉県ふじみ野市苗間1-7-21
ＳＯＭＰＯケア　ラヴィーレ上福岡,埼玉県ふじみ野市上福岡2丁目6番7号
ル・レーヴふじみ野,埼玉県ふじみ野市新駒林一丁目4番16号
有限会社　住まいるハート,埼玉県ふじみ野市鶴ケ岡４丁目１２番１５号
富家福祉用具事業所,埼玉県ふじみ野市苗間291-2
スリーウィン,埼玉県ふじみ野市上福岡二丁目6番12号
家事ケア　すまいる,埼玉県ふじみ野市松山二丁目6番地2
富家在宅リハビリテーションケアセンター,埼玉県ふじみ野市亀久保１８３９番地４
社会福祉法人　崇徳会　マザーアース居宅介護支援事業所,埼玉県ふじみ野市大井６２１－１
医療生協さいたまふじみ野ケアセンター,埼玉県ふじみ野市上福岡３－３－７
しおん社会福祉士事務所,埼玉県ふじみ野市上福岡２丁目７番地８　ホワウトハウス１０５号
指定居宅介護支援事業所秋桜の里,埼玉県ふじみ野市駒林１１４５－１
居宅介護支援センター　あゆみ,埼玉県ふじみ野市上福岡３丁目１１番３号
医療法人　誠壽会　上福岡リハケアセンター指定居宅介護支援事業所,埼玉県ふじみ野市福岡新田北谷１０８－１
医療法人財団明理会　介護老人保健施設イムスケアふじみの居宅介護支援事業所,埼玉県ふじみ野市鶴ケ岡五丁目６番５８号
あさがお上福岡,埼玉県ふじみ野市上福岡５－５－４
居宅介護支援事業所　リリエンベルグ　ふじみ野,埼玉県ふじみ野市大井中央２－２－１７
社会福祉法人　ふじみ野市社会福祉協議会指定居宅介護支援事業所,埼玉県ふじみ野市福岡１－１－１
居宅介護支援事業所　すずらんの花,埼玉県ふじみ野市鶴ケ岡2-27-3
ケアサポートふじみの居宅介護支援事業所,埼玉県ふじみ野市長宮２丁目４－６
つるがおか　居宅介護支援事業所,埼玉県ふじみ野市鶴ケ岡一丁目１３番３２号
学研ココファン　ふじみ野,埼玉県ふじみ野市ふじみ野四丁目８番４３号
ベテラン館,埼玉県ふじみ野市亀久保１８３３番地５
やさしい手ふじみ野居宅介護支援事業所,埼玉県ふじみ野市南台１－１５－１２　グレイスふじみ野1階
ケアマネジャー事務所サーバント　ふじみ野,埼玉県ふじみ野市大井中央４－１８－３１
株式会社いずみ居宅介護支援事業所,埼玉県ふじみ野市上福岡6丁目3番8号
ほほえみケアセンター　居宅介護支援事業所,埼玉県ふじみ野市福岡中央2-1-11
居宅介護支援事業所　ケアマネジメント　なごみ,埼玉県ふじみ野市川崎２－４－１０
居宅介護支援事業所あやめの里,埼玉県ふじみ野市中福岡263番地
居宅介護支援事業所　すきっぷ,埼玉県ふじみ野市富士見台3番5号
居宅介護支援事業所　しあわせの介護プラン,埼玉県ふじみ野市福岡武蔵野10-3美山野ハウス1001号
大井協同居宅介護支援事業所,埼玉県ふじみ野市ふじみ野1-1-15
居宅介護支援レジデンスふじみ野,埼玉県ふじみ野市鶴ケ岡1-12-9
居宅介護支援事業所　はまゆう,埼玉県ふじみ野市上福岡６丁目４－５
社会福祉法人　崇徳会　特別養護老人ホームマザーアース,埼玉県ふじみ野市大井６２１－１
介護老人福祉施設　秋桜の里「かみふくおか」,埼玉県ふじみ野市駒林１１４５－１
特別養護老人ホーム　あやめの里,埼玉県ふじみ野市中福岡２６３
特別養護老人ホーム大井苑　,埼玉県ふじみ野市大井武蔵野１２７７－１
特別養護老人ホーム　上野台の里,埼玉県ふじみ野市上野台二丁目１５番２５号
医療法人財団明理会　介護老人保健施設　イムスケアふじみの,埼玉県ふじみ野市鶴ケ岡５丁目６番５８号
白岡市社会福祉協議会訪問介護事業所,埼玉県白岡市千駄野４４５番地
おおるり介護保険サービス事業所,埼玉県白岡市上野田字逆井１７４１番１
彩和介護サービス,埼玉県白岡市小久喜５５２－９
みらい,埼玉県白岡市下野田１１１９－１
いちょうの木,埼玉県白岡市上野田５５－４
訪問介護事業所めぐみ,埼玉県白岡市小久喜１３７７－３
訪問介護　あずき,埼玉県白岡市小久喜１０９２番２
ウエルシア介護サービス白岡,埼玉県白岡市小久喜1413
訪問介護ステーション　花みずき白岡,埼玉県白岡市西八丁目７番地２グレースコーポA棟１０１
特定非営利活動法人埼玉東コアラ,埼玉県白岡市高岩1795番地23
ヘルパーステーション一番山車,埼玉県白岡市篠津１９２６番地３
いなほの訪問介護,埼玉県白岡市千駄野663-1
パレット,埼玉県白岡市白岡950-9
白岡訪問看護ステーション,埼玉県白岡市小久喜９１３－１
白岡整形外科　訪問看護ステーション,埼玉県白岡市小久喜１０６７－２
ウエルシア介護サービス訪問看護ステーション白岡,埼玉県白岡市小久喜1413
光乃里　指定通所介護事業所,埼玉県白岡市荒井新田３５９－１
ソレアード　新白岡　通所介護事業所,埼玉県白岡市新白岡８－１２－３
デイサービスセンター　アクア,埼玉県白岡市白岡１０２５番地５
デイサービス　CORE　白岡　Conditioning　Support,埼玉県白岡市高岩字野中９９０番地１
ヒューマンサポート白岡東デイサービスセンター,埼玉県白岡市白岡東１２－４
いちょうの木,埼玉県白岡市上野田55番地4
オリーブ・デイサービス白岡,埼玉県白岡市下野田１１１９－１
介護老人保健施設　ぽっかぽか,埼玉県白岡市上野田３５７番地１
光乃里　指定短期入所生活介護事業所,埼玉県白岡市荒井新田３５９－１
いなほの里　短期入所生活介護,埼玉県白岡市千駄野６６３－１
